Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Part_of_Speech,Definitions_Whitakers,Dictionary_Form,Occurrences_in_Aeneid
1,"I.1","I.1-25","canō","cecinī, 3, n. and a.","verb","sing, celebrate, chant; crow; recite; play (music)/sound (horn); foretell","cano, canere, cani, canitum",43
2,"I.4","I.1-25","superus","a, um","noun","gods (pl.) on high, celestial deities; those above","superus, superi",1
3,"I.4","I.1-25","saevus","a, um","adj","savage; fierce/ferocious; violent/wild/raging; cruel, harsh, severe; vehement","saevus, saevi, saevissi",59
4,"I.4","I.1-25","memor","oris","adj","remembering; mindful (of w/GEN), grateful; unforgetting, commemorative","memor, memoris",19
5,"I.8","I.1-25","laedō","laesī, laesus, 3, a.","verb","strike; hurt, injure, wound; offend, annoy","laedo, laedere, laesi, laesum",5
6,"I.8","I.1-25","-ve","","enclitic","nearly; near, close to, near by, hard by, by the side of; just as, equally;","-ve",79
7,"I.9","I.1-25","rēgīna","ae, f.","noun","queen","regina, reginae",41
8,"I.9","I.1-25","volvō","volvī, volūtus, 3, a.","verb","roll, cause to roll; travel in circle/circuit; bring around/about; revolve","volvo, volvere, volvi, volutum",53
9,"I.10","I.1-25","īnsīgnis","e","adj","conspicuous, manifest, eminent, notable, famous, distinguished, outstanding","insign, insignis",29
10,"I.14","I.1-25","dīves","itis, and dīs, dīte","noun","rich man","dives, divitis",16
11,"I.14","I.1-25","asper","era, erum","noun","uneven/rough/harsh place/land; adversity, difficulties (esp. pl.)","asperum, asperi",31
12,"I.17","I.1-25","currus","ūs, m.","noun","chariot, light horse vehicle; triumphal chariot; triumph; wheels on plow; cart","currus, currus",51
13,"I.18","I.1-25","foveō","fōvī, fōtus, 2, a.","verb","keep warm; favor, cherish, maintain, foster","foveo, fovere, fovi, fotum",12
14,"I.19","I.1-25","prōgeniēs","ēī, f.","noun","race, family, progeny","progenies, progeniei",9
15,"I.20","I.1-25","ōlim","ōlim","adv","formerly; once, once upon a time; in the future","olim",20
16,"I.21","I.1-25","superbus","a, um","adj","arrogant, overbearing, haughty, proud","superbus, superba, superbum",37
17,"I.27","I.1-25","spernō","sprēvī, sprētus, 3, a.","verb","scorn, despise, spurn","sperno, spernere, sprevi, spretum",3
18,"I.29","I.1-25","accendō","ī, cēnsus, 3, a.","verb","kindle, set on fire, light; illuminate; inflame, stir up, arouse; make bright","accendo, accendere, accendi, accensum",25
19,"I.30","I.1-25","aequor","oris, n.","noun","level/smooth surface, plain; surface of the sea; sea, ocean","aequor, aequoris",89
20,"I.31","I.1-25","mītis","e","adj","mild, meek, gentle, placid, soothing; clement; ripe, sweet and juicy","mitus, miti, mitissi",1
21,"I.31","I.1-25","arceō","uī, 2, a.","verb","ward/keep off/away; keep close, confine; prevent, hinder; protect; separate","arceo, arcere, arcui",9
22,"I.33","I.1-25","mōlēs","is, f.","noun","large mass; rock/boulder; heap/lump/pile, bulk; monster; mole/jetty/dam/dike","moles, molis",30
23,"I.34","I.1-25","tellūs","ūris, f.","noun","earth, ground; the earth; land, country","tellus, telluris",49
24,"I.35","I.1-25","vēlum","ī, n.","noun","sail, covering; curtain; [vela vento dare => sail away]","velum, veli",32
25,"I.35","I.1-25","spūma","ae, f.","noun","foam, froth; slime, scum, spume; hair pomade/dye","spuma, spumae",5
26,"I.35","I.26-50","sāl","salis, m.","noun","open sea, high sea, main, deep, ocean; sea in motion, billow, waves","salum, sali",7
27,"I.40","I.26-50","mergō","mersī, mersus, 3, a.","verb","dip, plunge, immerse; sink, drown, bury; overwhelm","mergo, mergere, mersi, mersum",8
28,"I.41","I.26-50","pontus","ī, m.","noun","sea","pontus, ponti",30
30,"I.45","I.26-50","nūbēs","is, f.","noun","cloud/mist/haze/dust/smoke; sky/air; billowy formation (hair); swarm/multitude","nubes, nubis",43
31,"I.43","I.26-50","ratis","is, f.","noun","raft; ship, boat","ratis, ratis",22
32,"I.44","I.26-50","pectus","oris, n.","noun","breast, heart; feeling, soul, mind","pectus, pectoris",120
34,"I.45","I.26-50","scopulus","ī, m.","noun","rock, boulder","scopulus, scopuli",27
35,"I.45","I.26-50","acuō","uī, ūtus, 3, a.","verb","whet, sharpen, cut to a point; spur on, provoke, incite; come to a head (PASS)","acuo, acuere, acui, acutum",7
36,"I.46","I.26-50","dīvus","a, um","noun","god","divus, divi",1
36,"I.46","I.26-50","dīvus","ī, m.","noun","god","divus, divi",69
37,"I.47","I.26-50","cor","cordis, n.","noun","pupil of the eye","cora, corae",33
38,"I.51","I.26-50","nimbus","ī, m.","noun","rainstorm, cloud","nimbus, nimbi",24
39,"I.52","I.26-50","vāstus","a, um","adj","huge, vast; monstrous","vastus, vasti, vastissi",46
40,"I.52","I.26-50","antrum","ī, n.","noun","cave; cavern; hollow place with overarching foliage; cavity, hollow; tomb","antrum, antri",24
41,"I.53","I.26-50","lūctor","ātus sum, 1, dep. n.","verb","wrestle; struggle; fight (against)","luctor, luctari, luctatus sum",8
42,"I.56","I.26-50","fremō","uī, itus, 3, n. and a.","verb","roar; growl; rage; murmur, clamor for","fremo, fremere, fremui, fremitum",35
43,"I.56","I.26-50","celsus","a, um","adj","high, lofty, tall; haughty; arrogant/proud; prominent, elevated; erect; noble","celsus, celsa, celsum",23
44,"I.57","I.26-50","scēptrum","ī, n.","noun","scepter","sceptrum, sceptri",18
45,"I.58","I.26-50","nī","nī","adv","if ... not; unless; [quid ni? => why not?]","ni",19
46,"I.60","I.26-50","aura","ae (archaic genit. āī), f.","noun","breeze, breath (of air), wind; gleam; odor, stench; vapor; air (pl.), heaven","aura, aurae",85
47,"I.60","I.26-50","spēlunca","ae, f.","noun","cave","spelunca, speluncae",12
48,"I.61","I.26-50","āter","tra, trum","adj","black, dark; dark-colored (hair/skin); gloomy/murky; unlucky; sordid/squalid","aterus, atri, aterri",71
49,"I.63","I.26-50","habēna","ae, f.","noun","thong, strap; whip; halter; reins (pl.); direction, management, government","habena, habenae",20
50,"I.66","I.26-50","mulceō","mulsī, mulsus or mulctus, 2, a.","verb","stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight","mulceo, mulcere, mulsi, mulsum",7
51,"I.66","I.51-75","fluctus","ūs, m.","noun","wave; disorder; flood, flow, tide, billow, surge; turbulence, commotion","fluctus, fluctus",44
52,"I.69","I.51-75","incutiō","cussī, cussus, 3, a.","verb","strike on or against; instill","incutio, incutiere, incussi, incussum",1
53,"I.69","I.51-75","puppis","is, f.","noun","stern/aft (of ship); poop; ship; back (L+S); [a ~ => abaft]","puppis, puppis",43
54,"I.71","I.51-75","nympha","ae, f.","noun","nymph; (semi-divine female nature/water spirit); water; bride; young maiden","nympha, nymphae",6
55,"I.73","I.51-75","cōnūbium","iī, n.","noun","marriage/wedlock; right to marry; act/ceremony of marriage (usu. pl.)","conubium, conubii",14
56,"I.75","I.51-75","prōlēs","is, f.","noun","offspring, descendant; that springs by birth/descent; generation; race, breed","proles, prolis",24
57,"I.79","I.51-75","epulae","ārum, f.","noun","courses (pl.), food, dishes of food; dinner; banquet; feast for the eyes","epula, epulae",11
58,"I.79","I.51-75","recumbō","cubuī, 3, n.","verb","recline, lie at ease, sink/lie/settle back/down; recline at table","recumbo, recumbere, recubui",3
59,"I.81","I.51-75","cavus","a, um","noun","hole, cavity, depression, pit, opening; cave, burrow; enclosed space; aperture","cavus, cavi",34
60,"I.81","I.51-75","cuspis","idis, f.","noun","point/tip (spear), pointed end; spit/stake; blade; javelin/spear/lance; sting","cuspis, cuspidis",12
61,"I.82","I.51-75","velut","velut (velutī)","adv","just as, as if","velut",27
63,"I.90","I.51-75","intonō","uī, ātus 1, n. and a.","verb","thunder","intono, intonare, intonavi, intonatum",8
