Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Definitions,Occurrences in the Aeneid
1,I.1,I.1-25,"canō","cecinī, 3, n. and a.","to make musical and rhythmical sounds with voice or instrument; to make melody, play, or sing, to sing, rehearse, celebrate in song or verse, 1.1; to speak in measure or rhythm; to proclaim, as prophet or priest, 2.176; reveal, 3.155; foretell, 2.124; rehearse, narrate, 4.14; explain, interpret, 5.524; warn, 12.28; forebode, croak, 11.399; sound, 7.513.",43
2,I.4,I.1-25,"superus","a, um","adj. (super), above, upper, supreme, 3.20; of the upper world as opposed to Hades, 2.91; 10.40; superae sēdēs, the sky, Olympus, 11.532; supera, the upper world, 7.562; the sky, heaven, 6.787; subst., superī, ōrum, m., those of the upper world, the living as opposed to the dead, 6.481; the gods above, or gods of Olympus as opposed to the infernal gods, 1.4; superl., suprēmus, a, um, the highest; most exalted, 10.350; illustrious, 7.220; extreme, 3.590; last, final, 2.11; subst., suprēmum, ī, n., the end, 12.803; pl., suprēma, ōrum, the last honors, rites, 6.213; (adv.), suprēmum, for the last time, 3.68; superl., summus, a, um, the uppermost, topmost, highest, 2.463; situated on a height; high, 2.166; the highest part of, summit of, top of, 2.302, et al.; surface of, 5.819, et al.; main, chief, 1.342; utmost, greatest, 5.197; supreme, 1.665; most important, 9.227; latest, last, 2.324, et al.; summa rēs, the chief or common interest, common weal, 11.302; the chief conflict, 2.322; subst., summum, ī, n., the top.",1
3,I.4,I.1-25,"saevus","a, um","(adj.), fierce, fell, wrathful, of men, animals, and things; cruel, 1.458; dreadful, direful, fearful, 2.559; furious, 9.792; stern, bloody, 6.824; formidable, valiant, warlike, 1.99; relentless, 12.849; maddening, angering; bitter, 1.25; mortal, 12.857.",59
4,I.4,I.1-25,"memor","oris","adj. (rel. to mēns and meminī), mindful, remembering, 1.23; heedful, 480; thankful, grateful, 4.539; not forgetting; relentless, 1.4; with nōn or nec, unmindful, regardless, 12.534.",19
5,I.8,I.1-25,"laedō","laesī, laesus, 3, a.","to strike violently; smite, 2.231; bruise, strike, hit, 7.809; hurt, injure, offend, thwart, 1.8; violate, 12.496.",5
6,I.8,I.1-25,"-ve","","(conj. enclit.), usually appended to the first word in the clause or phrase, or freq.; ve — ve, either — or, both — and, 10.150.",79
7,I.9,I.1-25,"rēgīna","ae, f.","a queen, 1.9; princess, 1.273. (rēx)",41
8,I.9,I.1-25,"volvō","volvī, volūtus, 3, a.","to roll, 1.86; roll along or down, 1.101; roll or cast up, 3.206; toss, hurl, 12.906; roll over, roll in the dust, 12.329; cast, hurl down, 1.116; 9.512; roll, wheel, 1.163; of books, open, unroll, 1.262; of the Fates, fix the circle of events, decree, ordain, dispose, 1.22; 3.376; of the mind, revolve, meditate, reflect upon, 1.305; pass, continue, live through, experience, endure, suffer, 1.9; rotam volvere, to complete a cycle, period; (pass.), volvī, roll over, roll, 10.590; turn or wind about, 7.350; to be shed, to flow, 4.449; roll on, revolve, 1.269.",53
9,I.10,I.1-25,"īnsīgnis","e","beautiful, 3.468; splendid, adorned, 4.134; conspicuous, 6.808; marked, renowned, distinguished, 1.10; illustrious, glorious, 10.450. (in and sīgnum)",29
10,I.14,I.1-25,"dīves","itis, and dīs, dīte","(adj.), rich, wealthy; fertile, 7.262; w. gen., rich in respect of, rich in, 1.14; w. abl., rich in, abounding in, 4.38; superl., dītissimus, a, um, the richest, wealthiest, 1.343; very rich, opulent, 9.360.",16
11,I.14,I.1-25,"asper","era, erum","(adj.), rough, 2.379; rugged, craggy, jagged, 6.360; chased, embossed, 5.267; (fig.), of the weather, stormy, 2.110; of temperament, spirit, or nature, barbarous, 5.730; formidable, fierce, 1.14; full of strife, warlike, 1.291; cruel, stern, 6.882; angry, 1.279; bitter, 2.96; displeased, 8.365.",31
12,I.17,I.1-25,"currus","ūs, m.","a chariot, car, 1.156; a chariot team, chariot horses, 7.163; pl. for the sing., 10.574. (currō)",51
13,I.18,I.1-25,"foveō","fōvī, fōtus, 2, a.","to keep warm; (fig.), foster, protect, cherish, 1.281; soothe, 12.420; caress, make love to, 1.718; rest, incline, 10.838; to toy away, enjoy, 4.193; cherish, hope, long, desire, 1.18.",12
14,I.19,I.1-25,"prōgeniēs","ēī, f.","lineage, progeny, race, 1.19; offspring, 5.565; son, 7.97. (prōgignō)",9
15,I.20,I.1-25,"ōlim","ōlim","(adv.), some time ago; formerly, once, 1.653, et al.; at some future time; hereafter, some time, 1.20; at times, ofttimes, 5.125.",20
16,I.21,I.1-25,"superbus","a, um","adj. (super), overbearing, haughty, proud, insolent, fierce, 1.523; superior, mighty, 1.21; audacious, 12.326; hard, cruel, 12.877; stately, superb, magnificent, splendid, 1.639.",37
