Chapter,Headword,Latin_Entry,Part_of_Speech,English
1,quamvis,,adverb,however much; although
1,praeclarus,"praeclara, praeclarum",adjective,"very clear; splendid; famous; bright, illustrious; noble, distinguished"
1,pulchritudo,"-inis, f.",noun,"beauty, excellence"
1,advenae,-e,noun,"foreigner, immigrant, visitor from abroad; newcomer, interloper; migrant (bird)"
1,veneror,"venerari, veneratus sum",verb,"adore, revere, do homage to, honor, venerate; worship; beg, pray, entreat"
1,pario,"pariere, peperi (3)",verb,"bear; give birth to; beget, bring forth; produce, lay (eggs); create; acquire"
1,nascor,"nasci, natus sum",verb,"be produced spontaneously, come into existence/being; spring forth, grow; live"
1,maior/iunior natu,,special expression,
1,priscus,"prisca, priscum",adjective,"ancient, early, former"
1,partior,"partii, partitus sum",verb,"share, divide up, distribute"
1,paeniteo,"paenitere, paenitui (3)",verb,"displease; (cause to) regret; repent, be sorry; [me paenitet => I am sorry]"
1,flagitium,"-i, n.",noun,"shame, disgrace; scandal, shameful act, outrage, disgraceful thing; scoundrel"
1,ulciscor,"ulcisci, ultus sum",verb,avenge; punish
1,caterva,"-e, f.",noun,"crowd/cluster; troop, company, band of men/followers/actors; flock/herd/swarm"
1,pergo,"pergere, perrexi (3)",verb,"go on, proceed"
1,per + accusative,,special expression,"for oaths, e.g., per maternae ...foedera 'by the bonds of a mother's love'"
2,beatus,"-i, m.",noun,"happy/fortunate men/persons (pl.); ""the_rich""; The Blessed, Saints"
2,superi,"-i, m.",noun,"gods (pl.) on high, celestial deities; those above"
2,prex,"-cis, f.",noun,"prayer, request"
2,maritus,"-i, m.",noun,"husband, married man; lover; mate"
2,sisto,"sistere, stiti (3)",verb,"stop, check; cause to stand; set up"
2,genus,"-eris, n.",noun,birth/descent/origin; race/family/house/stock/ancestry; offspring/descent
2,sors,"-tis, f.",noun,"lot, fate; oracular response"
2,stirps,"-is, f.",noun,race
2,taeda,"-e, f.",noun,pine torch
2,ululatus,"-, m.",noun,"howling (dogs/wolves), wailing; shrieking (defiance); yelling (grief/distress)"
2,lacrima,"-e, f.",noun,tear; exuded gum/sap; bit of lead; quicksilver from ore; weeping (pl.); dirge
2,pareo,"parere, parui (3)",verb,(+ dat.)
2,comitor,"comitari, comitatus sum",verb,"join as an attendant, guard/escort; accompany, follow; attend (funeral)"
2,cunctor,"cunctari, cunctatus sum",verb,"delay, impede, hold up; hesitate, tarry, linger; be slow to act; dawdle; doubt"
2,clades,"-is, f.",noun,"defeat, reverse; casualties, slaughter/carnage/devastation; ruins; dissolution"
2,defessus,"defessa, defessum",adjective,"worn out, weary, exhausted, tired; weakened (L+S)"
3,gramen,"-inis, n.",noun,"grass, turf; herb; plant"
3,conquiesco,"conquiescere, conquievi (3)",verb,"rest, take repose/be quiet, nap/go to sleep; have respite/pause from (w/ab/ex)"
3,lucus,"-i, m.",noun,grove; sacred grove
3,fons,"-tis, m.",noun,"spring, fountain, well; source/fount; principal cause; font; baptistry"
3,limen,"-inis, n.",noun,"threshold, entrance; lintel; house"
3,vinculum,"-i, n.",noun,"chain, bond, fetter; imprisonment (pl.)"
3,ops,"-is, f.",noun,"power, might; help; influence; resources/wealth (pl.)"
3,cubiculum,"-i, n.",noun,bedroom; sleeping chamber/apartment/suite; (as scene of marital/other sex)
3,servio,"serviere, servivi (3)",verb,(+ dat.)
3,horresco,"horrescere, horrui (3)",verb,"dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver"
3,luctus,"-, m.",noun,"grief, sorrow, lamentation, mourning; cause of grief"
3,vestigium,"-i, n.",noun,"step, track; trace; footstep"
3,protinus,,adverb,"straight on, forward; immediately; without pause; at once"
3,exitium,"-i, n.",noun,"destruction, ruin; death; mischief"
3,carcer,"-is, m.",noun,"prison, jail; jailbird; starting barriers at race-course, traps; beginning"
4,lectus,"-i, m.",noun,chosen/picked/selected men (pl.)
4,complector,"complecti, complexus sum",verb,"embrace, hug; welcome; encircle, encompass; attain; include, bring in, involve"
4,tantum,,adv,"so much, so far; hardly, only"
4,memini,,verb,"remember (PERF form, PRES force); keep in mind, pay heed to; be sure; recall"
4,annuo,"annuere, annui (3)",verb,"designate w/nod, nod assent; indicate, declare; favor/smile on; agree to, grant"
4,contingo,"contingere, contigi (3)",verb,"touch; reach (to); border on, be connected with; affect, hit; take hold, seize"
4,priusquam,,conjunction,before; until; sooner than
4,evanesco,"evanescere, evanui (3)",verb,vanish/disappear; pass/fade/die (away/out); lapse; become weak/void/forgotten
4,ne ... quando,,special expression,"(after si, nisi, num, ne)"
4,scopulus,"-i, m.",noun,"rock, boulder"
4,amens,"amenti, amentissi",adjective,"insane, demented, out of one's mind; very excited, frantic, distracted; foolish"
4,trepidus,"trepida, trepidum",adjective,"nervous, jumpy, agitated; perilous, alarming, frightened; boiling, foaming"
4,effundo,"effundere, effudi (3)",verb,pour out/away/off; allow to drain; shower; volley (missiles); send/stream forth
4,dapes,,,
4,obliviscor,"oblivisci, oblitus sum",verb,forget; (with GEN)
4,fingo,"fingere, finxi (3)",verb,"mold, form, shape; create, invent; produce; imagine; compose; devise, contrive"
4,prodo,"prodere, prodidi (3)",verb,"project, thrust forward; bring forth, produce, give birth to; create; nominate"
5,invidia,"-e, f.",noun,hate/hatred/dislike; envy/jealousy/spite/ill will; use of words/acts to arouse
5,potior,"potii, potitus sum",verb,"obtain, acquire; grasp; attain, reach (goal); come by (experiences)"
5,passim,,adverb,here and there; everywhere
5,orbis,"-, m.",noun,circle; territory/region; sphere; [orbis terrarum => world/(circle of lands)]
5,recordor,"recordari, recordatus sum",verb,"think over; call to mind, remember"
5,confestim,,adverb,"immediately, suddenly; at once, without delay, forthwith; rapidly, speedily"
5,mulier,"-is, f.",noun,woman; wife; mistress
5,scelestus,"scelesta, scelestum",adjective,"infamous, wicked; accursed"
5,struo,"struere, struxi (3)",verb,"build, construct"
5,perfidus,"perfida, perfidum",adjective,"faithless, treacherous, false, deceitful"
5,nefarius,"nefaria, nefarium",adjective,"wicked, evil, offending moral law; criminal, abominable; horrible/vile/foul"
5,insidiae,"-e, f.",noun,"ambush/ambuscade (pl.); plot; treachery, treacherous attack/device; trap/snare"
5,gaudeo,adgaudere (3),verb,(+ abl.)
5,cresco,"crescere, crevi (3)",verb,come forth/to be; arise/spring (from); be born; become visible/great; grow (up)
6,pestis,"-, f.",noun,"plague, pestilence, curse, destruction"
6,sumo,"sumere, sumpsi (3)",verb,"take up; begin; suppose, assume; select; purchase; exact (punishment); obtain"
6,dirigo,"dirigere, direxi (3)",verb,"arrange/set in line/direction; align; set in order; form up, fall in (army)"
6,immineo,imminere (3),verb,"threaten, be a threat (to); overhang, be imminent; with DAT"
6,iamdudum,,,
6,fungor,"fungi, functus sum",verb,"perform, execute, discharge (duty); be engaged in (w/ABL of function)"
6,saltem,,adv,"at least, anyhow, in all events; (on to more practical idea); even, so much as"
6,paulatim,,adverb,"little by little, by degrees, gradually; a small amount at a time, bit by bit"
6,mulceo,"mulcere, mulsi (3)",verb,"stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight"
6,nequitia,"-e, f.",noun,wickedness; idleness; negligence; worthlessness; evil ways
6,sermo,"-nis, m.",noun,"conversation, discussion; rumor; diction; speech; talk; the word"
6,aetas,"-tis, f.",noun,"lifetime, age, generation; period; stage, period of life, time, era"
6,mendacium,"-i, n.",noun,"lie, lying, falsehood, untruth; counterfeit, fraud"
6,facies,"-i, f.",noun,"shape, face, look; presence, appearance; beauty; achievement"
6,fallo,"fallere, fefelli (3)",verb,"deceive; slip by; disappoint; be mistaken, beguile, drive away; fail; cheat"
7,perago,"peragere, peregi (3)",verb,"disturb; finish; kill; carry through to the end, complete"
7,quod si,,,
7,formido,"formidare, formidavi (1)",verb,"dread, fear, be afraid of; be afraid for (the safety of) (w/DAT)"
7,succurro,"succurrere, succucurri (3)",verb,"run to the aid of, help"
7,mico,"micare, micui (1)",verb,"vibrate, quiver, twinkle; tremble, throb; beat (pulse); dart, flash, glitter"
7,promo,"promere, prompsi (3)",verb,take/bring out/forth; bring into view; bring out/display on the stage
7,desero,"deserere, deserui (3)",verb,"leave/depart/quit/desert; forsake/abandon/give up; withdraw support, let down"
7,ictus,"-, m.",noun,"blow, stroke; musical/metrical beat; measure (music)"
7,quid mali,,special expression,(genitive with neuter adjectives and pronouns)
8,sicut,,adverb,"as, just as; like; in same way; as if; as it certainly is; as it were"
8,aestus,"-, m.",noun,"agitation, passion, seething; raging, boiling; heat/fire; sea tide/spray/swell"
8,scelus,"-eris, n.",noun,"crime; calamity; wickedness, sin, evil deed"
8,mitis,"-itis, m.",noun,"pole/fork for supporting/spreading birdnets; fence rail, cross bar"
8,abscondo,"abscondere, abscondi (3)",verb,"hide, conceal, secrete, ""shelter""; leave behind; bury, engulf, swallow up; keep"
8,intueor,"intueri, intuitus sum",verb,"look at; consider, regard; admire; stare"
8,arcus,"-, m.",noun,"bow, arc, coil, arch; rainbow; anything arched or curved"
8,exsilio,"exsiliere, exsilivi (3)",verb,"spring/leap/burst forth/out, leap up, start up, bound; emerge into existence"
8,tacitus,"-i, m.",noun,Tacitus; (Emperor Marcus Claudius Tacitus 275-276)
8,fessus,"fessa, fessum",adjective,"tired, wearied, fatigued, exhausted; worn out, weak, feeble, infirm, sick"
8,solum,"-i, n.",noun,"bottom, ground, floor; soil, land"
8,cacumen,"-inis, n.",noun,"top, peak, summit; shoot, blade of grass, tip of tree/branch; zenith; limit"
8,egregius,"egregia, egregium",adjective,singular; distinguished; exceptional; extraordinary; eminent; excellent
8,ripa,"-e, f.",noun,bank
9,pergo,"pergere, perrexi (3)",verb,"go on, proceed"
9,perimo,"perimere, peremi (3)",verb,"kill, destroy"
9,lenis,"-i, m.",noun,Hellenism
9,facinus,"-oris, n.",noun,deed; crime; outrage
9,vesanus,"vesana, vesanum",adjective,"mad, frenzied; wild"
9,scopulus,"-i, m.",noun,"rock, boulder"
9,saltus,"-, m.",noun,"leap, spring, jump; stage, step"
9,gradus,"-, m.",noun,step; position
9,intereo,"interire, interivi (4)",verb,"perish, die; be ruined; cease"
9,cuncti,"-i, m.",noun,all (pl.) (M); all with a stated/implied exception
9,voluptas,"-tis, f.",noun,"pleasure, delight, enjoyment"
9,conticesco,"conticescere, conticui (3)",verb,"cease to talk, fall silent, lapse into silence; cease to function, become idle"
9,indignor,"indignari, indignatus sum",verb,"deem unworthy, scorn, regard with indignation, resent, be indignant"
9,persequor,"persequi, persecutus sum",verb,"follow up, pursue; overtake; attack; take vengeance on; accomplish"
10,iacto,,,
10,vestigium,"-i, n.",noun,"step, track; trace; footstep"
10,ultro,,adverb,"besides, beyond; to/on the further/other side; voluntarily, unaided; wantonly"
10,ancilla,"-e, f.",noun,slave girl; maid servant; handmaid; (opprobrious of man); nun (selfdescribed)
10,scilicet,,adverb,"one may know, certainly; of course"
10,nequiquam,,adverb,in vain
10,decet,,adverb,henceforth
10,edo,"edere, edi (3)",verb,eat/consume/devour; eat away (fire/water/disease); destroy; spend money on food
10,discindo,"discindere, discidi (3)",verb,"cut in two, divide"
10,praeceptum,"-i, n.",noun,"teaching, lesson, precept; order, command"
10,cumulus,"-i, m.",noun,"heap/pile/mound/aggregate/mass/accumulation; wave (water); surplus, increase"
10,cena,"-e, f.",noun,"dinner/supper, principal Roman meal (evening); course; meal; company at dinner"
10,immanitas,"-tis, f.",noun,"brutality, savage character, frightfulness; huge/vast size; barbarity; monster"
10,misereor,"misereri, miseritus sum",verb,"pity, feel pity; show/have mercy/compassion/pity for (w/GEN)"
10,objicio,"objiciere, objeci (3)",verb,"throw before/to, cast; object, oppose; upbraid; throw in one's teeth; present"
11,fuscus,"fusca, fuscum",adjective,"dark, swarthy, dusky; husky; hoarse"
11,palus,"-i, m.",noun,stake/pile/pole/unsplit wood; peg/pin; execution stake; wood sword; fence (pl.)
11,culmen,"-inis, n.",noun,"height/peak/top/summit/zenith; roof, gable, ridge-pole; head, chief; ""keystone"""
11,fauces,,,
11,cautes,"-is, f.",noun,"rough pointed/detached rock, loose stone; rocks (pl.), cliff, crag; reef"
11,moles,"-is, f.",noun,"large mass; rock/boulder; heap/lump/pile, bulk; monster; mole/jetty/dam/dike"
11,libro,"librare, libravi (1)",verb,"balance,swing; hurl"
11,saevio,"saeviere, saevivi (3)",verb,"rage; rave, bluster; be/act angry/violent/ferocious; vent rage on (DAT)"
11,reor,"reri, ratus sum",verb,"think, regard; deem; suppose, believe, reckon"
11,abdo,"abdere, abdidi (3)",verb,"remove, put away, set aside; depart, go away; hide, keep secret, conceal"
11,invius,"invia, invium",adjective,impassable; inaccessible
11,tenebra,"-e, f.",noun,"darkness (pl.), obscurity; night; dark corner; ignorance; concealment; gloom"
11,ambo,adlambere (3),verb,lick (of flames)
11,praetereo,"praeterire, praeterivi (4)",verb,pass/go by; disregard/neglect/omit/miss; surpass/excel; go overdue; pass over
12,humilis,,,
