lesson_number,latin_headword,latin_endings,part_of_speech,english
1,terra incognita,,idiom,unknown land
1,amant,,verb,"they love, like"
1,est,,verb,"he, she, it is"
1,habet,,verb,"he, she, it has, holds"
1,laudant,,verb,they praise
1,sunt,,verb,they are
1,vident,,verb,they see
1,videt,,verb,"he, she, it sees"
1,agricola,-ae,noun,farmer
1,incola,-ae,noun,inhabitant
1,īnsula,-ae,noun,island
1,puella,-ae,noun,girl
1,silva,-ae,noun,"forest, woods"
1,terra,-ae,noun,"land, earth"
1,vīta,-ae,noun,life
1,bona,,adjective,good
1,magna,,adjective,"large, great"
1,multae,,adjective,many
1,parva,,adjective,small
1,perīculōsa,,adjective,dangerous
1,et,,conjunction,and
1,nōn,,adverb,not
1,quod,,conjunction,because
1,quoque,,adverb,"also, too"
1,saepe,,adverb,often
1,sed,,conjunction,but 
